"GEOID","pct_male","pct_female"
"08063",53.6,46.4
"08065",55.6,44.4
"08067",50.3,49.7
"08069",49.9,50.1
"08071",52.5,47.5
"08073",63.8,36.2
"08075",54,46
"08077",49.3,50.7
"08079",51.2,48.8
"08081",51.8,48.2
"08083",49.5,50.5
"08085",49.2,50.8
"08087",50.3,49.7
"08089",48.7,51.3
"08091",50.8,49.2
"08093",53.3,46.7
"08095",51.9,48.1
"08097",52.1,47.9
"08099",51,49
"08101",49.2,50.8
"08103",51.1,48.9
"08105",49.8,50.2
"08107",52,48
"08109",49.8,50.2
"08111",49.6,50.4
"08113",52.7,47.3
"08115",47.8,52.2
"08117",54.5,45.5
"08119",50.9,49.1
"08121",52.4,47.6
"08123",50.5,49.5
"08125",49.8,50.2
"09001",48.7,51.3
"09003",48.6,51.4
"09005",49.5,50.5
"09007",48.8,51.2
"09009",48.2,51.8
"09011",50.1,49.9
"09013",50,50
"09015",49.5,50.5
"10001",48.2,51.8
"10003",48.4,51.6
"10005",48.4,51.6
"11001",47.4,52.6
"12001",48.3,51.7
"12003",52.1,47.9
"12005",49.7,50.3
"12007",55,45
"12009",48.9,51.1
"12011",48.7,51.3
"12013",55.1,44.9
"12015",48.9,51.1
"12017",48.5,51.5
"12019",49.3,50.7
"12021",49.3,50.7
"12023",51.8,48.2
"12027",56.5,43.5
"12029",56,44
"12031",48.5,51.5
"12033",49.5,50.5
"12035",47.7,52.3
"12037",57,43
"12039",47.4,52.6
"12041",52.4,47.6
"12043",55.6,44.4
"12045",58.5,41.5
"12047",58.7,41.3
"12049",54.2,45.8
"12051",53,47
"12053",48,52
"12055",48.7,51.3
"12057",48.9,51.1
"12059",54.3,45.7
"12061",48,52
"12063",54.9,45.1
"12065",52.5,47.5
"12067",59.3,40.7
"12069",48.5,51.5
"12071",49,51
"12073",47.4,52.6
"12075",48.8,51.2
"12077",59.6,40.4
"12079",53.4,46.6
"12081",48.4,51.6
"12083",48,52
"12085",49.5,50.5
"12086",48.6,51.4
"12087",52.1,47.9
"12089",49.6,50.4
"12091",50.7,49.3
"12093",54,46
"12095",49,51
"12097",49.3,50.7
"12099",48.5,51.5
"12101",48.7,51.3
"12103",48,52
"12105",49,51
"12107",49.5,50.5
"12109",48.7,51.3
"12111",48.8,51.2
"12113",51.1,48.9
"12115",47.7,52.3
"12117",48.3,51.7
"12119",50,50
"12121",51.4,48.6
"12123",56,44
"12125",65.2,34.8
"12127",48.7,51.3
"12129",54.3,45.7
"12131",50.6,49.4
"12133",54.1,45.9
"13001",50.5,49.5
"13003",50.7,49.3
"13005",48.9,51.1
"13007",48.9,51.1
"13009",50.6,49.4
"13011",50.2,49.8
"13013",49,51
"13015",49.4,50.6
"13017",47.8,52.2
"13019",49,51
"13021",46.9,53.1
"13023",47.3,52.7
"13025",49,51
"13027",48.8,51.2
"13029",49.9,50.1
"13031",49,51
"13033",47.6,52.4
"13035",53.3,46.7
"13037",61.1,38.9
"13039",51.7,48.3
"13043",49.4,50.6
"13045",48.7,51.3
"13047",48,52
"13049",57.2,42.8
"13051",48.1,51.9
"13053",65.1,34.9
"13055",51.8,48.2
"13057",49.2,50.8
"13059",47.6,52.4
"13061",48.4,51.6
"13063",46.8,53.2
"13065",50.6,49.4
"13067",48.4,51.6
"13069",51.5,48.5
"13071",49.5,50.5
"13073",48.9,51.1
"13075",47.9,52.1
"13077",48.7,51.3
"13079",52.6,47.4
"13081",48.2,51.8
"13083",48.9,51.1
"13085",49.8,50.2
"13087",48.1,51.9
"13089",47.3,52.7
"13091",52.6,47.4
"13093",54.1,45.9
"13095",46.2,53.8
"13097",47.7,52.3
"13099",46.5,53.5
"13101",47.4,52.6
"13103",49.5,50.5
"13105",48,52
"13107",49,51
"13109",49.5,50.5
"13111",48.5,51.5
"13113",48.5,51.5
"13115",48.4,51.6
"13117",49.7,50.3
"13119",48.8,51.2
"13121",48.4,51.6
"13123",49.9,50.1
"13125",48.8,51.2
"13127",47.1,52.9
"13129",49.5,50.5
"13131",48.6,51.4
"13133",49.2,50.8
"13135",48.8,51.2
"13137",47.4,52.6
"13139",49.7,50.3
"13141",56.6,43.4
"13143",48.3,51.7
"13145",50.3,49.7
"13147",49.1,50.9
"13149",49.4,50.6
"13151",47.7,52.3
"13153",48.5,51.5
"13155",52.6,47.4
"13157",49.5,50.5
"13159",48.4,51.6
"13161",48.9,51.1
"13163",48.2,51.8
"13165",46.6,53.4
"13167",56.8,43.2
"13169",48,52
"13171",48.8,51.2
"13173",48.4,51.6
"13175",47.3,52.7
"13177",49.9,50.1
"13179",50.8,49.2
"13181",46.8,53.2
"13183",50.6,49.4
"13185",48.7,51.3
"13187",48.6,51.4
"13189",45.8,54.2
"13191",50.3,49.7
"13193",54.6,45.4
"13195",49.1,50.9
"13197",47.8,52.2
"13199",48.5,51.5
"13201",48.5,51.5
"13205",51.9,48.1
"13207",50,50
"13209",51.2,48.8
"13211",49,51
"13213",49.5,50.5
"13215",48.8,51.2
"13217",47.4,52.6
"13219",49.1,50.9
"13221",50.6,49.4
"13223",48.8,51.2
"13225",48.6,51.4
"13227",49.6,50.4
"13229",50.4,49.6
"13231",48.9,51.1
"13233",49.2,50.8
"13235",46.4,53.6
"13237",48.5,51.5
"13239",47.5,52.5
"13241",49.4,50.6
"13243",48.4,51.6
"13245",48.4,51.6
"13247",47.1,52.9
