fips,pop
13303,20374
22127,13904
22033,440059
22085,23884
22003,25627
22065,10951
22053,31368
22093,21096
22043,22389
22125,15568
22051,432493
22011,37497
22013,13241
22015,127039
22023,6973
22037,19135
22095,42837
22075,23197
22073,153279
22079,129648
22117,46194
22105,134758
22001,62045
22123,10830
22103,260419
22021,9918
22035,6861
22005,126604
22039,33395
22045,69830
22087,47244
22091,10132
22121,26465
22031,27463
22081,8442
22067,24874
22069,38158
22109,110461
22025,9494
22027,15670
22041,20015
22007,21891
22049,15744
22113,59511
22089,53100
22029,19259
22059,14892
23017,57975
23027,39715
23019,152148
23001,108277
23003,67055
23005,295003
23023,35856
29053,17709
29075,6571
29133,13180
29153,9174
29017,12133
29103,3959
29139,11551
29207,29025
29007,25388
29077,293086
29185,9397
29197,4660
29029,46305
29099,225081
37143,13463
37157,91010
37029,10867
37071,224529
37125,100880
37167,62806
37199,18069
37037,74470
37101,209339
37145,39490
37009,27203
37107,55949
37133,197938
37161,67029
37197,37667
37023,90485
38097,8036
38021,4872
38101,67641
38067,6801
38041,2499
38017,181923
38029,3241
38077,16177
38001,2216
38027,2287
38057,8187
12085,161000
12125,15237
12075,41503
12113,184313
12011,1952778
12033,318316
12091,210738
12129,33739
13201,5718
13219,40280
13111,26188
13175,47546
13293,26320
22097,82124
22101,49348
22111,22108
22017,240204
22055,244390
22061,46742
22119,38340
22047,32511
22063,140789
22071,390144
1107,19930
1119,12427
1073,658573
1023,12589
1059,31362
1091,18863
1113,57961
1019,26196
1039,37049
1041,13772
1047,37196
1077,92729
1085,9726
1087,18068
1083,98915
1117,217702
1115,89512
1003,223234
1051,81209
1069,105882
1121,79978
1125,209355
1027,13235
1031,52342
1109,33114
1033,55241
1037,10663
1065,14651
1055,102268
1053,36633
1075,13805
1013,19448
1105,8923
1127,63521
1035,12067
1063,8111
1007,22394
1015,113605
1017,33254
1057,16302
1101,226486
18179,28296
18003,379299
18031,26559
18035,114135
18043,78522
18077,32308
1093,29709
18079,27735
18081,158167
18103,35516
18109,70489
18051,33659
18111,13984
18117,19646
18141,271826
18085,79456
18099,46258
18155,10751
18163,181451
8014,70465
10001,180786
9009,854757
9015,116782
21055,8806
21115,22188
21051,19901
21025,12630
21083,37266
21031,12879
21097,18886
21143,8210
21231,20333
21221,14651
21131,9877
21121,31145
21139,9194
21211,49024
21027,20477
21117,166998
21151,92987
21217,25769
21219,12294
21053,10218
22083,20122
22019,203436
22009,40144
22077,21730
22057,97614
22107,4334
23015,34634
23021,16785
23029,31379
23013,39772
23011,122302
23009,54987
24510,593490
24025,255441
24033,909327
13313,104628
13285,69922
13197,8359
13321,20247
13109,10654
13103,64296
13107,22646
13051,289430
13173,10423
13205,21863
13289,8120
13263,6195
13255,66703
13257,25925
21165,6489
21193,25758
21189,4415
13275,44451
13209,9172
13243,6778
24047,52276
23031,207641
23007,30199
23025,50484
24039,25616
24041,37181
24001,70416
24027,325690
38073,5218
38085,4230
38033,1761
38095,2189
38023,2264
38081,3898
39105,22907
39021,38885
39057,168937
39087,59463
39115,14508
39175,21772
39043,74266
40007,5311
40063,13279
40031,120749
40001,22194
40137,43143
40019,48111
51025,16231
51131,11710
51163,22573
51720,3981
53039,22425
53027,75061
53069,4488
53025,97733
53061,822083
54089,12573
54025,34662
54057,26868
54041,15907
54075,8247
54083,28695
54105,5821
54015,8508
54061,105612
54103,15065
54039,178124
54077,33432
54085,9554
54043,20409
54007,13957
54005,21457
54109,20394
55033,45368
55043,51439
55117,115340
55078,4556
55011,13031
55063,118016
55073,135692
55121,29649
55027,87839
