"GEOID","poverty_total","poverty_male","poverty_female"
"06039",18.8,8.2,10.6
"06041",7.1,3,4.1
"06043",15,7.2,7.8
"06045",17.5,7.7,9.7
"06047",20.7,9.4,11.3
"06049",18.2,9.4,8.8
"06051",12,6,6
"06053",12.6,5.8,6.8
"06055",7.6,3.7,3.9
"06057",10.9,4.8,6.2
"06059",10.7,4.8,5.9
"06061",7.7,3.5,4.1
"06063",11.9,5.6,6.4
"06065",13.5,6.1,7.4
"06067",14.5,6.8,7.7
"06069",8.4,3.9,4.5
"06071",15.5,7,8.5
"06073",11.3,5.2,6.1
"06075",10.2,4.9,5.3
"06077",14.2,6.5,7.7
"06079",11.8,5.6,6.2
"06081",6.7,3,3.7
"06083",12.9,5.9,7
"06085",7.4,3.4,4
"06087",12.6,5.7,6.8
"06089",16.4,7.7,8.8
"06091",9.6,5,4.6
"06093",18.6,8.7,9.9
"06095",9.3,4.2,5.1
"06097",9.1,4.1,5
"06099",15,6.7,8.3
"06101",15.3,7,8.3
"06103",21.8,10.2,11.6
"06105",18.7,9.2,9.5
"06107",23.5,11.1,12.4
"06109",11.9,5.2,6.7
"06111",8.8,3.9,4.9
"06113",18.4,8.1,10.2
"06115",15.2,7,8.2
"08001",10.7,4.8,5.9
"08003",21.9,10.4,11.5
"08005",8,3.6,4.4
"08007",8.7,4.1,4.6
"08009",18.4,7.5,10.9
"08011",20.3,11.3,9.1
"08013",11.3,5.5,5.8
"08014",5.5,2.3,3.3
"08015",9.1,4.3,4.7
"08017",10,5,5
"08019",7.6,3.2,4.5
"08021",21.6,10.9,10.8
"08023",27.3,13.2,14.1
"08025",23.3,12.7,10.5
"08027",12.6,6.5,6.1
"08029",17.6,7.9,9.7
"08031",12.6,5.9,6.8
"08033",13.2,9.2,4.1
"08035",3.1,1.3,1.7
"08037",8,3.4,4.5
"08039",4.8,2.1,2.7
"08041",9.8,4.5,5.3
"08043",11,4.9,6.1
"08045",8.5,4.1,4.4
"08047",4.8,1.9,2.9
"08049",9.4,4.7,4.7
"08051",12.8,6.6,6.2
"08053",9.8,4.7,5.1
"08055",15.4,6.8,8.7
"08057",9.6,4.3,5.3
"08059",7,3.2,3.8
"08061",11.9,5.5,6.4
"08063",5.7,2.3,3.3
"08065",14.3,7.2,7.1
"08067",8.8,3.9,5
"08069",11.3,5.3,5.9
"08071",17.3,8.1,9.2
"08073",9.2,4.1,5.2
"08075",12.1,6.3,5.8
"08077",13.9,6.2,7.7
"08079",13.7,6.1,7.6
"08081",16.8,8.3,8.5
"08083",15,7.4,7.6
"08085",14.9,6.2,8.7
"08087",10.8,4.2,6.6
"08089",23.1,10.1,13
"08091",7.2,3.4,3.8
"08093",7.2,3.8,3.5
"08095",6,2.6,3.3
"08097",6.7,3.1,3.6
"08099",15.5,6.2,9.4
"08101",18.4,8.5,9.9
"08103",10,4.2,5.8
"08105",16.8,7.3,9.5
"08107",10.8,5.3,5.5
"08109",17.5,7.3,10.2
"08111",5.3,1,4.2
"08113",11.3,4.3,7
"08115",18.7,6.5,12.2
"08117",8,3.4,4.6
"08119",8.1,3.5,4.6
"08121",11,5.1,5.9
"08123",9.8,4.3,5.5
"08125",13.6,6.2,7.4
"09001",8.7,3.7,5
"09003",10.5,4.6,5.9
"09005",6.8,3.3,3.5
"09007",6.7,2.9,3.8
"09009",11.4,5,6.4
"09011",9,3.9,5.1
"09013",6.6,3.2,3.4
"09015",10.9,4.8,6.1
"10001",13.1,5.6,7.5
"10003",11,4.8,6.2
"10005",11.1,4.7,6.4
"11001",15.5,6.6,8.9
"12001",20.2,9.5,10.7
