"GEOID","poverty_total","poverty_male","poverty_female"
"20023",9.3,4.2,5.1
"20025",10.5,3.3,7.2
"20027",7.9,4.6,3.3
"20029",10.8,4.9,5.9
"20031",12.2,5.1,7.1
"20033",10.1,4.8,5.2
"20035",13.2,5.3,8
"20037",19.3,9.4,9.9
"20039",15.1,4.5,10.6
"20041",11.6,5.3,6.3
"20043",12.1,5,7.1
"20045",16.8,8.7,8.1
"20047",9.7,3.8,5.9
"20049",17.8,7.5,10.3
"20051",14.8,7,7.8
"20053",7.9,3.7,4.3
"20055",12.1,5.4,6.8
"20057",14.2,6.3,7.9
"20059",9.6,3.6,6
"20061",12.6,5.3,7.4
"20063",9.8,4.8,5
"20065",9.6,4,5.6
"20067",11.4,3.9,7.5
"20069",5.6,2.2,3.4
"20071",7.3,3,4.2
"20073",13.1,5.8,7.3
"20075",10.5,4.7,5.8
"20077",15.6,7.5,8.1
"20079",9.2,3.9,5.3
"20081",10.4,3.8,6.6
"20083",10.9,4.5,6.4
"20085",11.5,4.3,7.2
"20087",7.4,3.7,3.7
"20089",17.4,8.5,8.8
"20091",5.3,2.2,3.1
"20093",19.2,6.9,12.3
"20095",7.5,3.6,3.9
"20097",6.2,3,3.2
"20099",18,7.5,10.5
"20101",12,6.7,5.2
"20103",7.9,3.3,4.6
"20105",8.9,4.2,4.7
"20107",16.2,7.1,9.1
"20109",8,4.3,3.6
"20111",16.1,7.2,8.9
"20113",8.3,3.9,4.5
"20115",8.1,3.9,4.3
"20117",8.8,4.3,4.5
"20119",6.3,1.9,4.4
"20121",6.7,2.9,3.9
"20123",14.2,7.4,6.8
"20125",18.2,8.7,9.5
"20127",8.9,3.9,5
"20129",9.9,3.4,6.5
"20131",8.5,3.3,5.2
"20133",18.2,8,10.1
"20135",10,4.2,5.8
"20137",10.4,3.2,7.2
"20139",14,6.9,7.1
"20141",14.3,6.3,8
"20143",9.7,4.4,5.4
"20145",5.3,1.3,4
"20147",9.6,4,5.6
"20149",8,3.5,4.5
"20151",11.1,3.3,7.8
"20153",10.7,4.8,6
"20155",12.3,5.3,7
"20157",10.6,4.7,5.8
"20159",13.2,6.9,6.3
"20161",19.4,9.4,10.1
"20163",7.5,2.9,4.6
"20165",10.1,5.6,4.5
"20167",11,6.5,4.4
"20169",11.2,4.6,6.6
"20171",5.9,2.2,3.7
"20173",13.5,6.1,7.4
"20175",16.4,7.3,9.1
"20177",11.1,5.1,6
"20179",5.2,1.8,3.4
"20181",11.1,5.9,5.3
"20183",11,4.2,6.8
"20185",12.1,6.2,6
"20187",18,9.2,8.8
"20189",19.6,5.8,13.8
"20191",11.5,5.1,6.4
"20193",11.3,5.2,6.1
"20195",6.7,4.2,2.5
"20197",4.8,1.9,2.9
"20199",9.3,4.4,4.9
"20201",10.6,4.9,5.7
"20203",3.2,1.1,2.1
"20205",13.8,6.4,7.4
"20207",19.1,8.1,11
"20209",19,8.4,10.6
"21001",19,9.1,9.9
"21003",18.5,8,10.4
"21005",15.5,7.1,8.4
"21007",15.1,5.8,9.3
"21009",23.6,10.2,13.4
"21011",20.2,8.2,12
"21013",34.4,15.4,19
"21015",7.1,3,4.1
"21017",15,6.1,8.9
"21019",18.1,8.3,9.8
"21021",12.7,5.9,6.8
"21023",17.6,7.4,10.2
"21025",33.7,16,17.7
"21027",18.2,8.3,9.9
"21029",8.9,3.8,5.1
"21031",18.9,7.9,10.9
"21033",16.6,6.8,9.8
"21035",19.4,9,10.4
"21037",13,5.4,7.6
"21039",16.6,8.1,8.5
"21041",23.2,10.9,12.3
"21043",24.6,11.4,13.2
"21045",24.8,11.4,13.4
"21047",17.7,7.4,10.3
"21049",14.5,6.1,8.3
"21051",34.1,16.6,17.5
"21053",23.8,11,12.8
"21055",14,6.4,7.5
"21057",21,8.7,12.3
"21059",16.1,7.2,8.9
"21061",18,7.5,10.5
"21063",24.1,12,12.1
"21065",30.5,13.2,17.3
"21067",16.1,7.3,8.8
"21069",19.8,10.1,9.7
"21071",30.1,13.6,16.5
"21073",11.9,5,6.9
"21075",26.2,11.5,14.6
"21077",14.4,7.7,6.7
"21079",15.5,7,8.6
"21081",16.1,6.4,9.7
"21083",19.2,8.8,10.4
"21085",25.1,12.2,12.9
"21087",17.8,8.5,9.2
"21089",16.6,7,9.7
"21091",11.6,5.1,6.5
"21093",12.8,5,7.9
"21095",35,15.8,19.2
"21097",17.2,7.5,9.7
"21099",21.1,9.4,11.6
"21101",18.1,7.8,10.2
"21103",18.2,7.7,10.5
"21105",14.3,4.9,9.5
"21107",18.8,7.8,11
"21109",31.7,15.4,16.3
"21111",13.9,6.1,7.9
"21113",16.3,7,9.3
"21115",22.1,9.6,12.5
"21117",11.3,5.2,6.1
"21119",29.7,14.1,15.6
"21121",32.2,14.3,18
"21123",14.2,5.5,8.7
"21125",22.8,10.2,12.6
"21127",26.3,12.7,13.5
"21129",32.5,15.6,16.9
"21131",35.8,15.3,20.5
"21133",33.2,15.7,17.5
"21135",24,11.2,12.8
"21137",20.8,10.1,10.7
"21139",14.4,5.6,8.8
"21141",16.8,6.8,9.9
"21143",13.3,5,8.3
"21145",15.4,6.8,8.6
"21147",30.5,14.7,15.9
"21149",15.8,7.6,8.2
"21151",17.5,8,9.5
"21153",27.9,14.2,13.7
"21155",22,9.4,12.6
"21157",10.2,4.9,5.2
"21159",17.7,8.9,8.8
"21161",17.4,7.5,9.9
"21163",12,5.2,6.8
"21165",23.4,11.8,11.6
"21167",14,5.3,8.8
"21169",23,10.1,12.8
"21171",23.5,11,12.5
"21173",18,7.4,10.5
"21175",19.8,9.4,10.4
"21177",14.8,6.5,8.3
"21179",9.1,3.8,5.3
"21181",27.5,12.3,15.2
"21183",18.4,7.5,10.9
"21185",5.6,2.6,3
"21187",18.7,8.7,10
"21189",29.4,13.6,15.8
"21191",17.5,7.3,10.2
"21193",25.2,11.9,13.3
"21195",24.4,10.8,13.6
"21197",20.7,7.1,13.6
"21199",22.3,9.7,12.6
"21201",24.6,10.4,14.2
"21203",19.5,7.4,12.1
"21205",24.4,10.6,13.9
"21207",22.8,10,12.8
"21209",11.2,4.8,6.4
"21211",10.9,4.8,6.1
"21213",15.2,5.1,10.1
"21215",9.6,4.1,5.5
"21217",17.1,6.5,10.6
"21219",18.3,8,10.3
"21221",11.6,4.4,7.2
"21223",17.1,7.9,9.1
"21225",19.8,11.1,8.8
"21227",15.8,6.9,8.9
"21229",14.8,7,7.8
"21231",24.7,12.1,12.6
"21233",22.2,10.4,11.8
"21235",22.2,9.3,13
"21237",28.6,12.1,16.4
"21239",12.8,5.9,7
"22001",23.7,9.1,14.6
"22003",11.9,4.8,7.2
"22005",10.5,4.2,6.3
"22007",19,7.4,11.6
"22009",22.1,8.6,13.5
"22011",15.3,6.7,8.6
"22013",27.7,12.9,14.8
"22015",16.8,7,9.8
"22017",22.9,10,12.8
"22019",17,7.2,9.8
"22021",23.9,12.7,11.2
"22023",9.9,4.4,5.4
"22025",19.2,7.1,12.1
"22027",28.9,15.6,13.3
"22029",22.4,10,12.5
"22031",21.8,9.3,12.5
"22033",17.7,7.7,10
"22035",27.8,8.4,19.4
"22037",14.3,6.6,7.7
"22039",27.1,11.8,15.3
"22041",27.2,11.6,15.6
"22043",16.1,7.1,9
"22045",21.8,8.9,12.9
"22047",16.4,7,9.4
"22049",21,8.5,12.5
"22051",15.3,6.6,8.7
"22053",18.8,8.1,10.7
"22055",16.9,7.4,9.6
"22057",15.2,6.2,9
"22059",18.1,8.4,9.7
"22061",28.3,12.7,15.6
"22063",12.3,5.4,6.9
"22065",30.1,11,19.2
"22067",27.4,11.4,16
"22069",31.6,13.6,17.9
"22071",22.9,10.1,12.7
"22073",23.6,10,13.6
"22075",17.9,6.8,11.1
"22077",20.6,9.8,10.8
"22079",19,8.7,10.3
"22081",24.6,11.5,13.1
"22083",29.1,13.8,15.3
"22085",18.3,7.6,10.6
"22087",20.9,9.5,11.5
"22089",11.1,5,6
"22091",18.1,6.6,11.5
"22093",16.9,6,10.9
"22095",17.1,6.8,10.4
"22097",25.7,11,14.7
"22099",18.6,8.1,10.5
"22101",19.4,9,10.4
"22103",11.3,4.7,6.6
"22105",20.8,8.9,12
"22107",34.6,17.3,17.3
"22109",20.3,9,11.3
"22111",16.8,7.7,9.2
"22113",17.4,7.1,10.2
"22115",16.4,7.3,9.1
"22117",23.3,9.3,14
"22119",29.1,13,16.1
"22121",12,5.2,6.9
"22123",21,8.1,13
"22125",9.4,5.2,4.2
"22127",16.2,6.9,9.3
"23001",11.4,5.1,6.3
"23003",15.6,6.9,8.6
"23005",8.8,4.1,4.7
"23007",11,4.5,6.5
"23009",10.5,4.4,6.1
"23011",12.4,5.4,7
"23013",9.5,3.8,5.7
"23015",12.1,5.1,7
"23017",14.9,6.5,8.4
"23019",14.2,6.4,7.7
"23021",18.1,7.7,10.4
"23023",9.6,4,5.5
"23025",20,9.2,10.8
"23027",13.2,5.4,7.7
"23029",18.3,7.5,10.8
"23031",7.3,3.2,4.1
"24001",14.7,6.6,8.1
"24003",5.6,2.3,3.3
"24005",8.8,3.8,5
"24009",4.6,2.1,2.5
"24011",13.7,5.6,8
"24013",5.1,2.2,2.9
"24015",9.7,4.8,4.8
"24017",6.2,2.8,3.4
"24019",15.6,7.5,8.1
"24021",6.7,2.9,3.8
"24023",10.1,4.5,5.7
"24025",7.1,3,4.1
"24027",5,2.1,2.8
"24029",10.5,5.6,4.9
"24031",6.8,2.8,4
"24033",8.3,3.5,4.8
"24035",5.7,2.5,3.1
"24037",7.9,3.3,4.6
"24039",16.5,7.1,9.3
"24041",8.6,3.4,5.2
"24043",11.5,5,6.5
"24045",14.8,6.4,8.4
"24047",8.9,4.1,4.8
"24510",20.4,8.9,11.6
"25001",6.3,2.5,3.8
"25003",10.3,4.8,5.5
"25005",11,4.8,6.2
"25007",7.5,3.6,3.9
"25009",10.1,4.2,5.9
"25011",9.5,4.3,5.2
"25013",15.9,6.9,9
"25015",10.4,5,5.4
"25017",7.2,3.2,4
"25019",8.6,4.2,4.4
"25021",6.2,2.6,3.6
"25023",7.2,2.9,4.3
"25025",17.2,7.4,9.8
"25027",9.8,4.2,5.5
"26001",16.8,7.3,9.4
"26003",9.9,5.2,4.7
"26005",10.2,4.3,5.9
"26007",14,6.8,7.2
"26009",10.9,4.9,6
"26011",16.9,8.1,8.8
"26013",12.7,5.2,7.4
"26015",7.6,3,4.6
"26017",15.6,7.2,8.5
"26019",9.4,4.6,4.7
"26021",15.8,6.8,8.9
"26023",14.9,6.6,8.3
"26025",16,7.4,8.6
"26027",12,5.5,6.5
"26029",10,4.3,5.7
"26031",14.7,6.9,7.8
"26033",16.6,7.5,9.2
"26035",22.4,10.2,12.3
"26037",8.7,3.8,5
"26039",16,7.5,8.4
"26041",12.7,5.9,6.8
"26043",11.5,4.8,6.8
"26045",10,4.4,5.6
"26047",9,3.8,5.3
"26049",18.7,8.4,10.3
"26051",16.7,7,9.7
"26053",15.6,7.5,8.2
"26055",9.4,4.6,4.8
"26057",14.4,6.5,7.9
"26059",15.6,7.4,8.2
"26061",18.7,11,7.7
"26063",12.9,5.5,7.4
"26065",18.3,8.5,9.8
"26067",11.1,4.9,6.2
"26069",15,7,7.9
"26071",12.7,5.2,7.5
"26073",23.6,10.9,12.8
"26075",12.9,5.5,7.4
"26077",14.5,6.8,7.7
"26079",16.5,8,8.6
"26081",11.5,5.2,6.4
"26083",10.6,4.1,6.5
"26085",20.4,9.8,10.6
"26087",9.9,4.2,5.7
"26089",6.1,3.3,2.7
"26091",10.8,4.5,6.2
"26093",5.2,2.2,2.9
"26095",14.1,7.2,6.9
"26097",16.2,7.3,8.9
"26099",10.5,4.6,5.9
"26101",10.8,5,5.8
"26103",14.7,6.6,8.1
"26105",14.8,6.5,8.4
"26107",19.7,9.2,10.6
"26109",12.5,5.8,6.7
"26111",10.3,4.9,5.4
"26113",14,5.8,8.3
"26115",11,4.8,6.2
"26117",13.7,6,7.7
"26119",16.3,7,9.3
"26121",14.8,6.6,8.2
"26123",16.4,7.2,9.2
"26125",8.1,3.5,4.6
"26127",14.8,7.3,7.5
"26129",16.7,7.8,8.9
"26131",13.5,6.5,7
"26133",17.6,8.2,9.4
"26135",16,8,8
"26137",13.5,6.2,7.2
"26139",8.2,3.4,4.8
"26141",12.9,5.8,7.1
"26143",16.5,7.6,8.9
"26145",17.4,7.5,9.9
"26147",12.5,5.1,7.4
"26149",14.6,6.6,8
"26151",14.9,6.3,8.6
"26153",16.4,7.6,8.8
"26155",10.1,4.3,5.8
"26157",13.9,6.2,7.8
"26159",14.7,6.7,8
"26161",13.2,6.4,6.9
"26163",22,10.1,12
"26165",14,6.8,7.2
"27001",12,5.5,6.5
"27003",5.8,2.5,3.4
"27005",10.8,4.9,6
"27007",17.9,8.4,9.5
"27009",10.1,4,6.1
"27011",9.8,3.9,6
"27013",16.7,7.6,9.1
"27015",6.6,3.2,3.5
"27017",10.8,6.2,4.6
"27019",4,1.6,2.4
"27021",13.4,6.2,7.1
"27023",9.2,3.5,5.6
"27025",5.8,2.5,3.3
"27027",11.6,5.3,6.2
"27029",14.3,7.1,7.1
"27031",12.5,5.6,6.8
"27033",10.7,5.3,5.5
"27035",10.6,4.2,6.4
"27037",6,2.7,3.3
"27039",5.1,2.4,2.7
"27041",7.5,3.4,4.1
"27043",11.2,4.9,6.3
"27045",10.5,5,5.5
"27047",10.8,4.5,6.3
"27049",9.1,4.2,5
"27051",9.5,3.3,6.2
"27053",10.3,4.7,5.5
"27055",7.8,2.7,5.1
"27057",11.7,5.1,6.6
"27059",7.2,3.1,4.1
"27061",11.9,5.5,6.4
"27063",7.7,4.2,3.5
"27065",9.8,5,4.8
"27067",10.3,4.9,5.4
"27069",10.8,3.8,7
"27071",13.3,5.8,7.5
"27073",8.1,3.1,5.1
"27075",8.5,4.3,4.2
"27077",10.6,4.1,6.5
"27079",8.5,3.6,4.8
"27081",10.5,4.5,6
"27083",13.5,5.8,7.7
"27085",8.4,3.4,5
"27087",22.8,10.9,11.9
"27089",6.8,3.1,3.7
"27091",13.5,5.6,7.9
"27093",6.6,3.1,3.5
"27095",12.1,5,7.1
"27097",10,4,6
"27099",13.3,6.4,6.8
"27101",7,2.9,4.1
"27103",9.2,4.6,4.6
"27105",13.3,5.3,8
"27107",8.6,3.7,4.9
"27109",8.3,3.6,4.8
"27111",9.2,4.1,5
"27113",10.8,4.5,6.4
"27115",10.4,5.2,5.2
"27117",11.5,4.8,6.7
"27119",11.4,5.3,6.1
"27121",7.1,3.6,3.4
"27123",13.6,6.2,7.4
"27125",10.4,5,5.3
"27127",9.9,5.1,4.8
"27129",9.7,4.4,5.3
"27131",8,3.4,4.6
"27133",8.8,3.7,5
"27135",7.9,4,4
"27137",13.5,6.5,7
"27139",5.4,2.1,3.3
"27141",6.3,2.6,3.7
"27143",7.9,3,4.8
"27145",12.3,5.7,6.7
"27147",8.8,3.8,5
"27149",12,4.9,7.1
"27151",12.3,4.8,7.5
"27153",11.7,5.6,6.1
"27155",9.6,4.3,5.4
"27157",7.7,3.9,3.7
"27159",14,6.9,7.1
"27161",9.2,3.8,5.4
"27163",4.2,1.7,2.5
"27165",13.2,5.5,7.7
"27167",9,3.2,5.7
"27169",12,5.6,6.4
"27171",4.6,2,2.6
"27173",11.5,5.2,6.3
"28001",29,13.4,15.5
"28003",14.7,6.5,8.2
"28005",26.4,11.3,15.1
"28007",26.2,10.2,16
"28009",20.1,8.4,11.6
"28011",33.3,13.6,19.6
"28013",21.1,8.9,12.3
"28015",16.6,6.9,9.8
"28017",20,8.7,11.3
"28019",19.3,9.9,9.4
"28021",37.6,16.1,21.5
"28023",19,7.3,11.7
"28025",25.2,10.4,14.7
"28027",33.9,14.3,19.6
"28029",23.2,9.2,14
"28031",23.8,10,13.8
"28033",9.1,3.9,5.2
"28035",24.7,10.8,14
"28037",14.9,5.5,9.4
"28039",16.8,7.4,9.4
"28041",13.2,6.1,7.1
"28043",20.7,9.4,11.3
"28045",18.4,9,9.4
"28047",19.6,8.3,11.2
"28049",20.5,8.7,11.8
"28051",40.6,18,22.6
"28053",36,15.6,20.4
"28055",28.1,16.3,11.8
"28057",12.9,6.2,6.7
"28059",16,7.4,8.6
"28061",22.2,10.9,11.3
"28063",35,14,21
"28065",24.5,11.4,13.1
"28067",21.2,8.7,12.5
"28069",25.9,9.6,16.4
"28071",20.1,10.6,9.6
"28073",18.1,8.6,9.5
"28075",19.9,7.8,12.1
"28077",18.6,8,10.7
"28079",25.6,12.7,12.9
"28081",14.4,6.1,8.3
"28083",35.1,13.8,21.3
"28085",20.7,8.6,12.1
"28087",19.8,8.1,11.8
"28089",9.5,3.6,5.8
"28091",24.8,10.8,14
"28093",17.6,7.1,10.5
"28095",17.2,7.2,9.9
"28097",26.7,9.1,17.6
"28099",25.2,11.1,14
"28101",24.8,10.3,14.5
"28103",31.8,13.5,18.3
"28105",27.3,12.8,14.5
"28107",20.1,9.8,10.3
"28109",16.6,6.9,9.7
"28111",18.8,7.3,11.5
"28113",32,13.6,18.4
"28115",16,6.6,9.4
"28117",20.9,8.6,12.3
"28119",34.7,14.1,20.6
"28121",8,3.2,4.8
"28123",25.2,12,13.2
"28125",26.7,12.3,14.4
"28127",19,8.3,10.6
"28129",18.8,8.3,10.5
"28131",19,8.8,10.2
"28133",26.5,10.8,15.7
"28135",26.2,11.3,14.9
"28137",16.8,7.1,9.7
"28139",19.6,7.7,11.9
"28141",19.5,8.7,10.8
"28143",23.2,9.4,13.8
"28145",14.9,5.1,9.9
"28147",23.7,9.4,14.3
"28149",20.4,8.2,12.2
"28151",33.4,14.3,19.1
"28153",20.3,9.8,10.5
"28155",21.9,10.6,11.3
"28157",30.1,13.6,16.5
"28159",22.5,8.5,14
"28161",18.1,8,10.1
"28163",26.3,11.6,14.7
"29001",21.4,10,11.4
"29003",7.8,3.2,4.6
"29005",11.9,4.8,7.1
"29007",13.8,6.1,7.7
"29009",20.7,8.9,11.8
"29011",20.1,9,11
"29013",11.7,4.7,7
"29015",17.5,8.7,8.8
"29017",15.1,5.5,9.6
"29019",17,7.9,9.1
"29021",16.4,7.3,9.1
"29023",23.2,10.1,13.1
"29025",15.3,7.2,8.1
"29027",9.7,4,5.6
"29029",14.5,6.6,7.9
"29031",15.7,7,8.7
"29033",14.3,7.9,6.4
"29035",13,5.7,7.3
"29037",8.9,3.7,5.2
"29039",15.5,7.6,8
"29041",13.5,6.7,6.8
"29043",9.8,4.5,5.4
"29045",14.6,7,7.6
"29047",8.1,3.5,4.6
"29049",8.6,3.7,4.9
"29051",9.7,4.2,5.5
"29053",11,5.4,5.5
"29055",18.2,8.1,10.1
"29057",20.9,10.5,10.4
"29059",13.2,5.6,7.6
"29061",14.2,6.2,8
"29063",8.9,3.5,5.5
"29065",22.1,9.4,12.6
"29067",20.1,10,10.1
"29069",25,11.3,13.7
"29071",10.3,4.4,5.9
"29073",8.8,4.3,4.5
"29075",14.5,6.6,7.8
"29077",15.7,7.1,8.7
"29079",16.8,7.2,9.6
"29081",16.2,7.3,8.9
"29083",20.7,9.5,11.2
"29085",17.1,7.4,9.7
"29087",9.8,4.6,5.2
"29089",13.2,7.1,6
"29091",21.9,9.7,12.2
"29093",21.5,11,10.6
"29095",14.4,6.2,8.2
"29097",16.8,7.7,9
"29099",9.5,4.1,5.3
"29101",13.2,6.1,7.1
"29103",18.4,7.1,11.4
"29105",14.8,6.5,8.3
"29107",12.3,5.4,6.9
"29109",16.5,7.2,9.3
"29111",17.2,7.6,9.5
"29113",10.9,4.6,6.3
"29115",15.2,6.3,8.9
"29117",14.9,5.9,8.9
"29119",18.3,9.1,9.2
"29121",12.6,5.9,6.6
"29123",13.9,4.7,9.2
"29125",16.8,8.3,8.5
"29127",16.4,6.8,9.5
"29129",9.9,4,6
"29131",16.6,7.1,9.5
"29133",22,10.4,11.6
"29135",11,5,5.9
"29137",13.2,6,7.2
"29139",15.7,7.1,8.6
"29141",22.8,10,12.8
"29143",21.7,8.9,12.8
"29145",13.3,6.1,7.2
"29147",19.1,9,10.1
"29149",23.4,11.5,11.9
"29151",7.2,4,3.3
"29153",29.2,13.6,15.5
"29155",26.9,11.3,15.6
"29157",7.3,3.5,3.8
"29159",16,7.7,8.4
"29161",19.2,10.2,9
"29163",13.2,5.3,8
"29165",6.1,2.5,3.6
"29167",15.6,7.5,8.2
"29169",12.4,6.7,5.7
"29171",16.6,7.6,9
"29173",13.5,7.3,6.2
"29175",14.9,6.7,8.3
"29177",11.7,5.1,6.6
"29179",18.9,10.1,8.8
"29181",25.1,11.8,13.3
"29183",5.1,2,3
"29185",16.5,7.6,8.9
"29186",11.3,5.3,6
"29187",13.9,7.1,6.8
"29189",9.5,3.9,5.6
"29195",15.3,7.5,7.8
"29197",17.5,8.6,8.9
"29199",13,5.6,7.4
"29201",19.4,8.1,11.3
"29203",27,11.4,15.6
"29205",15.4,7.4,8.1
"29207",17.9,7.3,10.6
"29209",12.7,5.7,7
"29211",16.4,6.7,9.7
"29213",14.2,6.1,8.1
"29215",23.9,11.7,12.2
"29217",14.2,6.8,7.4
"29219",13.3,6,7.3
"29221",19.1,7.9,11.3
"29223",23.6,9.2,14.4
"29225",17.3,8.4,8.8
"29227",13.4,4.9,8.4
"29229",23.8,11.3,12.6
"29510",21.2,9.6,11.6
"30001",16.8,8.1,8.6
"30003",25.2,12.4,12.7
"30005",29.9,14.3,15.6
"30007",8.4,3.8,4.7
"30009",9.5,4.3,5.3
"30011",12.8,5.1,7.7
"30013",12.9,6.1,6.9
"30015",17,7.6,9.4
"30017",11.1,5,6.1
"30019",4.7,2.1,2.7
"30021",10.5,4.8,5.7
"30023",19,9.8,9.1
"30025",8.6,3.9,4.7
"30027",15.5,6.4,9.1
"30029",10.8,4.8,6
"30031",10.9,5.4,5.5
"30033",6,1.8,4.2
"30035",30.3,13.1,17.2
"30037",16.6,8.1,8.5
"30039",7.7,4.9,2.8
"30041",18,8.4,9.6
"30043",7.7,3.7,4
"30045",12.7,7.5,5.2
"30047",19.1,9.5,9.7
"30049",10.1,4.8,5.3
"30051",16,6,10
"30053",17.2,7.5,9.7
"30055",6,3.3,2.7
"30057",8.3,4.1,4.2
"30059",11.7,4.4,7.3
"30061",18.3,8.5,9.8
"30063",13.9,7,6.9
"30065",12.5,6.1,6.4
"30067",12.5,5.4,7.1
"30069",9.1,5.1,4
"30071",12.2,5.7,6.5
"30073",18.9,8.6,10.3
"30075",12.5,6.5,6
"30077",8.9,5.8,3.1
"30079",13,5.8,7.2
"30081",12.2,4.9,7.4
"30083",5.8,1.9,3.9
"30085",27.5,13.5,14
"30087",16.8,8.1,8.7
"30089",15.7,7.5,8.2
"30091",9.9,3.8,6.1
"30093",16.9,8.9,8.1
"30095",7.2,2.7,4.4
"30097",5.7,3.1,2.6
"30099",13.1,5.4,7.7
"30101",10.6,5.5,5.1
"30103",17.2,7.6,9.6
"30105",11,5.1,5.9
"30107",15.1,6.1,9
"30109",11.8,3.5,8.3
"30111",9.6,4.2,5.3
"31001",11.9,5,6.9
"31003",10.9,5.3,5.6
"31005",13.3,4.9,8.4
"31007",5.8,1.7,4.2
"31009",13,7.8,5.2
"31011",5.7,2.9,2.9
"31013",13.8,4.5,9.3
"31015",8.9,2.9,5.9
"31017",12.8,6.8,6
"31019",12.8,5.9,7
"31021",12.1,4.9,7.2
"31023",7,3.4,3.7
"31025",6.7,3.2,3.5
"31027",7,3.1,3.9
"31029",9.5,3.8,5.7
"31031",7.7,3.3,4.4
"31033",9.4,3.9,5.5
"31035",10.3,4.4,5.9
"31037",12,7.6,4.5
"31039",6.8,2.6,4.2
"31041",11.3,4.9,6.4
"31043",16,6.6,9.4
"31045",13,4.4,8.6
"31047",12.5,5.5,7
"31049",8.7,3.6,5.1
"31051",9.3,4.8,4.5
"31053",12.1,5.3,6.8
"31055",11.8,5.2,6.5
"31057",10.4,4.4,6
"31059",8.5,3.1,5.3
"31061",14.2,6.7,7.5
"31063",8.6,3.3,5.2
"31065",10.8,5.5,5.3
"31067",10.4,4,6.5
"31069",7.6,2.3,5.3
"31071",8.9,5.1,3.7
"31073",5.3,1.7,3.6
"31075",15.1,6.4,8.7
"31077",10,3.7,6.3
"31079",11.6,5.1,6.4
"31081",5.1,2.2,2.9
"31083",10.4,3.3,7.1
"31085",11.1,5.3,5.8
"31087",11,5.6,5.4
"31089",7.7,3.7,4
"31091",14.6,6.9,7.6
"31093",7.9,3.5,4.3
"31095",11.1,4.3,6.8
"31097",6.8,2.8,4
"31099",9.8,4.7,5.1
"31101",12.3,5.9,6.4
"31103",7.5,1.8,5.7
"31105",10.7,5.3,5.4
"31107",9.1,3.6,5.5
"31109",12,5.5,6.5
"31111",9.6,3.8,5.8
"31113",11.2,5.4,5.8
"31115",8.6,3.5,5.1
"31117",17.2,9.1,8.1
"31119",14.4,5.7,8.7
"31121",11.7,6.1,5.7
"31123",8.5,3.6,4.9
"31125",11.1,5.2,5.9
"31127",10.7,5.5,5.1
"31129",11,5.1,5.9
"31131",10.8,4.5,6.3
"31133",18.6,6.9,11.7
"31135",5,2,3
"31137",9.2,3.1,6.1
"31139",7.8,3.1,4.7
"31141",8.5,3.9,4.6
"31143",7.5,2.7,4.8
"31145",11.3,5.4,5.9
"31147",12,4.4,7.6
"31149",5,1.6,3.4
"31151",14.2,6.6,7.6
"31153",5.9,2.6,3.3
"31155",8,3.9,4.1
"31157",13.2,5.6,7.6
"31159",5.9,3.2,2.7
"31161",16.9,6.5,10.4
"31163",12.1,5.7,6.5
"31165",8.5,3,5.6
"31167",6.1,2.4,3.7
"31169",9.4,3.9,5.5
"31171",8.4,4,4.3
"31173",25.2,11.6,13.6
"31175",9.2,4.8,4.5
"31177",7.8,3.2,4.6
"31179",10.5,5.5,5
"31181",10.5,4.8,5.7
"31183",13.2,6.1,7
"31185",9,3.4,5.6
"32001",12.9,6.1,6.7
"32003",13.5,6.2,7.3
"32005",8.7,4.1,4.5
"32007",11.5,5.3,6.2
"32009",8.9,2.2,6.7
"32011",8,4.5,3.5
"32013",13.1,4.7,8.4
"32015",9.6,4.1,5.6
"32017",4.9,0.9,4
"32019",11.6,5.4,6.2
"32021",19.5,10.1,9.5
"32023",16.1,7.1,9
"32027",8.6,4.2,4.3
"32029",8.1,5.8,2.4
"32031",11.1,5.3,5.8
"32033",11.4,5.9,5.5
"32510",10.9,4.8,6.1
"33001",8.5,3.9,4.7
"33003",8.9,4,4.9
"33005",8.4,3.7,4.7
"33007",11.6,5.6,6
"33009",8.9,4.2,4.7
"33011",7.6,3.3,4.3
"33013",6.2,2.7,3.5
"33015",4.6,2,2.6
"33017",8.8,3.7,5.1
"33019",11.5,5.4,6.1
"34001",13,5.7,7.3
"34003",6.6,2.8,3.8
"34005",6,2.6,3.4
"34007",12.1,5.2,6.8
"34009",9.5,4.2,5.4
"34011",15.2,6.5,8.6
"34013",15.4,6.5,8.9
"34015",7.3,3.3,4
"34017",15.1,6.6,8.4
"34019",4.4,2,2.4
"34021",11.1,4.8,6.4
"34023",8.2,3.5,4.7
"34025",6.9,3,3.9
"34027",4.7,2.1,2.6
"34029",10,4.5,5.4
"34031",15.5,6.9,8.6
"34033",12.1,5.4,6.8
"34035",5.1,2.3,2.7
"34037",4.9,2.3,2.6
"34039",9.4,4.1,5.3
"34041",7.4,3.2,4.2
"35001",16.5,7.7,8.8
"35003",16.2,5.5,10.7
"35005",18.9,8.5,10.4
"35006",24.8,11.5,13.3
"35007",19,9.1,9.9
"35009",20.5,9.4,11
"35011",15.8,3.6,12.3
"35013",25.7,11.7,14.1
"35015",14.4,6.4,8
"35017",23.3,10.7,12.6
"35019",12.9,6.8,6.1
"35021",14.3,4.8,9.5
"35023",25.1,11,14.1
"35025",15.2,6.8,8.4
