"GEOID","white","black","ai_an","asian","nh_opi","other"
"22051",62.4,27,0.4,4.2,0,8.2
"22053",80.1,16.5,0.8,0.5,0,4
"22055",69.4,25.9,0.3,1.9,0,4.2
"22057",79,13.6,2.2,0.6,0,7.3
"22059",84.2,11.3,1,1.2,0.1,3.2
"22061",54.2,40.9,0.2,1.7,0,4.1
"22063",90.3,6,0.4,0.6,0,4.4
"22065",35.3,63.7,0.2,0,0,1.1
"22067",49.4,49.1,0.1,0.5,0,1.3
"22069",53.3,41.3,0.8,0.7,0,5.7
"22071",33.9,59.5,0.2,2.9,0,5.3
"22073",59.1,37.4,0.2,1,0,3.4
"22075",67.9,20.3,1.1,3.9,0,11.8
"22077",61.9,35.8,0,0.3,0,2.9
"22079",63.5,31.6,0.8,1.3,0,5.2
"22081",57.7,39.1,0,0,0,6.1
"22083",61.9,36.1,0,0.4,0,2.9
"22085",69.3,16,6.6,0.4,0,14.8
"22087",69.4,23.3,0.4,2.5,0.1,6.8
"22089",69.2,26.6,0.4,1,0,3.7
"22091",45.7,52.5,1.1,0.3,0,0.6
"22093",48.6,49.6,0,0.2,0.2,1.9
"22095",38.2,56.5,0,1.1,0,5.7
"22097",56,41.5,0.2,0.1,0,3.7
"22099",66.8,29.1,0.6,1,0,4.7
"22101",58.9,30.5,1.6,1.4,0,11.8
"22103",82.8,12.1,0.6,1.6,0,4.8
"22105",67.1,29.5,0.3,0.7,0,4.5
"22107",43.4,55.4,0,0.1,0,1.1
"22109",70.2,19,5.7,1,0.1,6.8
"22111",71.5,24.8,0.3,0.1,0,5
"22113",81.4,14.5,0.5,2,0.1,2.6
"22115",75.8,14.7,1.3,2.1,0.4,8.9
"22117",66.9,30.2,0.2,0.1,0,4.1
"22119",63.7,34,0.4,0.3,0.1,2.9
"22121",58.3,40.1,0.1,0.1,0,2.7
"22123",80.1,16.1,0.2,0,0.1,4.9
"22125",53.5,44.5,0.2,0.6,0,2.3
"22127",66.2,31.7,0.5,0,0,2.4
"23001",91.4,2.4,0.2,0.8,0,10.2
"23003",94.9,1,1.9,0.5,0,3.3
"23005",91.7,3,0.2,2.2,0,5.3
"23007",96.5,0.2,0.1,0.4,0.2,5
"23009",95.9,0.9,0.5,1.1,0.1,2.9
"23011",95.7,0.9,0.5,0.9,0.1,3.6
"23013",96.1,0.5,0.5,0.5,0,4.5
"23015",96.9,0.4,0.4,1,0,2.3
"23017",96.2,0.4,0.3,0.4,0,5.2
"23019",94.5,0.9,1.3,1,0,4.4
"23021",95.8,0.6,0.8,0.8,0,3.3
"23023",95.7,0.8,0.4,0.8,0,4.6
"23025",96.5,0.6,0.5,0.4,0,3.9
"23027",96.2,0.6,0.4,0.5,0,4.2
"23029",90.8,0.8,5.3,0.5,0,4.8
"23031",95.5,0.9,0.4,1.3,0,3.6
"24001",88.2,8.1,0.1,0.9,0,5
"24003",72.7,16.8,0.2,3.8,0.1,10.6
"24005",60.6,28.9,0.3,6,0.1,6.9
"24009",81.2,11.7,0.1,1.9,0.1,9.4
"24011",79.9,14.1,0.4,0.7,0,7.6
"24013",91.6,3.5,0.3,1.9,0,4.8
"24015",87.8,6.8,0.1,1.4,0,6.7
"24017",44,46,0.6,3.2,0,11.7
"24019",65.5,26.6,0.1,1.1,0,12.1
"24021",80.6,9.7,0.3,4.5,0.1,8.1
"24023",96.9,0.9,0.2,0.4,0,3.2
"24025",78.6,13.8,0.2,2.6,0,8.1
"24027",57,18.9,0.3,18.1,0,10.2
"24029",80.7,14.3,0.1,1.2,0,6
"24031",53.1,18.5,0.3,14.8,0,17.7
"24033",16.6,62.7,0.4,4.1,0.1,19.1
"24035",89.3,6.7,0.1,1,0.1,4.5
"24037",78,14.6,0.1,2.6,0,8.3
"24039",52.7,42.4,0.4,1,0,5.9
"24041",82.9,10.5,0.2,1.4,0,9.5
"24043",82.1,10.6,0.1,1.8,0.1,9.3
"24045",66.5,25.9,0.3,3.1,0,6.8
"24047",83,12.9,0.1,1.2,0.1,5.2
"24510",30.5,62.4,0.3,2.6,0,6.8
"25001",91.6,2.9,0.6,1.5,0.1,5.3
"25003",90.6,2.8,0.3,1.8,0.1,7.3
"25005",84.1,4.3,0.1,2.3,0.1,12.3
"25007",88.1,4.7,0.8,0.3,0,10.1
"25009",79.9,4.3,0.2,3.4,0,15.2
"25011",92.8,1.5,0.3,1.3,0.2,6.6
"25013",81.4,8.9,0.2,2.4,0,10
"25015",87.6,2.6,0.2,5.3,0.1,7.5
"25017",76.7,5.3,0.2,11.9,0,8.8
"25019",87.3,7.8,0.3,0.6,0.1,7.1
"25021",77.6,7.1,0.1,11.1,0,6.5
"25023",82.9,10,0.2,1.4,0,7.8
"25025",55.2,22.4,0.3,8.9,0.1,19.8
"25027",83.7,5,0.3,4.9,0,8.9
"26001",96.9,0.4,0.6,0.2,0.1,3.3
"26003",84.9,7.7,3.6,0.1,0,7.2
"26005",93.5,1.4,0.3,0.7,0,6.7
"26007",96.8,0.6,0.4,0.6,0.1,3
"26009",96.1,0.4,0.8,0.4,0,3.8
"26011",96.2,0.4,1.3,0.4,0,3.2
"26013",73.4,9.3,10,0.4,0.1,13.3
"26015",96.3,0.7,0.4,0.6,0,3.4
"26017",94.7,1.7,0.3,0.6,0,5
"26019",95.7,0.2,1.7,0.4,0.1,3.7
"26021",78.7,14.6,0.4,1.9,0,7.5
"26023",93.9,2.4,0.4,0.8,0,4.1
"26025",81.3,10.5,0.6,2.4,0,9.7
"26027",88.9,5.2,1.1,0.8,0,7
"26029",95.3,0.5,1.6,0.5,0.1,4.2
"26031",93.2,0.8,2.1,0.4,0,6.8
"26033",70.7,6,14.2,1,0.1,15.9
"26035",96.2,0.6,0.7,0.1,0,4.5
"26037",93.6,1.8,0.2,1.5,0,5.3
"26039",96,0.7,0.3,0.9,0,3.6
"26041",93.7,0.3,2,0.4,0,7
"26043",95.7,0.6,0.9,0.7,0,3.8
"26045",86.4,6.8,0.6,2.3,0,6.6
